name,capability,position,salience
HAW,0.65,14.25,0.8
IRA,0.85,14.2,0.85
RUS,0.55,14.2,0.65
OPE,0.7,14.1,0.75
GUL,0.5,14.1,0.75
MIL,0.75,14.1,0.75
KUW,0.65,14,0.9
TRI,0.85,13.95,0.85
REL,0.95,13.9,0.9
BUS,0.6,13.75,0.8
SUL,0.95,13.4,0.95
MAJ,0.45,13.35,0.75
ABD,1,13.25,0.9
FAH,1.05,13,0.9
USA,0.6,13,0.7
NAZ,0.8,12.9,0.85
JPY,0.75,12.85,0.75
