name,capability,position,salience
AUH,68,1,0.95
GER,158,1.0,0.75
ITA,26,1.0,0.75
FRN,75,0.45,0.7
RUS,111,0.4,0.75
ENG,138,0.35,0.60
SRB,2,0,0.95
