name,capability,position,salience
PLTF1,15.71,0.9,0.8
LOCG,11.22,0.25,0.25
LOCM,8.98,0.75,0.6
NTLM,6.73,0.25,0.25
PLTF2,5.61,1,0.8
UNIO,5.61,0.85,0.8
LOCE,1.12,0.25,0.1
POL1,8.82,0.75,0.4
POL2,7.94,0.25,0.3
POL3,5.29,0.25,0.3
POL4,3.53,0.25,0.3
POL5,2.65,0.6,0.3
POL6,1.76,0.6,0.3
BORD,8.06,0.25,0.5
EXE1,7.26,0.25,0.8
EXE2,7.26,0.25,0.8
EXE3,7.26,0.25,0.75
GCS1,3.63,0.25,0.75
EXE4,3.63,0.25,0.6
GCS2,2.82,0.25,0.8
ATT1,1.61,0.25,0.8
ATT2,1.21,0.25,0.55
EXE5,0.4,0.25,0.6
EXE6,0.4,0.25,0.5
EXE7,0.4,0.25,0.25
EXE8,0.4,0.25,0.25
ATT3,0.32,0.4,0.8
ATT4,0.32,0.25,0.75
JUS1,16.23,0.75,0.5
JUS2,12.17,0.85,0.75
JUS3,11.16,1,0.85
JUS4,9.13,1,0.75
JUS5,1.01,0.75,0.6
FED1,13.64,0.25,0.65
FED2,13.64,0.25,0.25
FED3,2.73,0.8,0.2
STA1,4.55,0.75,0.2
STA2,3.18,0.75,0.2
STA3,2.27,0.75,0.2
USA1,27.03,0.5,0.35
USA2,21.62,0.8,0.35
USA3,21.62,0.5,0.35
USA4,12.16,0.6,0.6
USA5,8.11,0.6,0.2
USA6,5.41,0.6,0.4
USA7,4.05,0.8,0.5
